nct_id,arm_label,oligo_name,arm_role,is_comparator,n_at_risk,tierA_affected,tierB_affected,tierA_event,tierB_event,tierA_terms,max_grade,delivery_route,route_is_cns,indication,oligo_class,backbone_chemistry,modification_pattern,has_sequence,trial_status,n_measurement_rows
NCT00770146,Placebo,placebo_or_sham_control,comparator,1,52,0,0,0,0,none,0,subcutaneous,0,Hypercholesterolemia; Coronary Heart Disease,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,COMPLETED,1
NCT00787319,Pegaptanib,pegaptanib,exposed,0,108,0,0,0,0,none,0,NOT_REPORTED,0,Age-related Macular Degeneration,aptamer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00790803,Macugen,pegaptanib,exposed,0,5,0,0,0,0,none,0,intravitreal,0,Uveitis; Cystoid Macular Edema,aptamer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00794664,Mipomersen,mipomersen,exposed,0,39,0,0,0,0,none,0,subcutaneous,0,Hypercholesterolemia; Coronary Heart Disease,ASO_gapmer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00794664,Placebo,placebo_or_sham_control,comparator,1,19,0,0,0,0,none,0,subcutaneous,0,Hypercholesterolemia; Coronary Heart Disease,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,COMPLETED,1
NCT00844597,Cohort 1 - 0.5 mg/kg/wk,eteplirsen,exposed,0,4,0,0,0,0,none,0,intravenous,0,Duchenne Muscular Dystrophy,PMO,PMO_neutral,NOT_REPORTED,0,COMPLETED,1
NCT00844597,Cohort 2 - 1.0 mg/kg/wk,eteplirsen,exposed,0,2,0,0,0,0,none,0,intravenous,0,Duchenne Muscular Dystrophy,PMO,PMO_neutral,NOT_REPORTED,0,COMPLETED,1
NCT00844597,Cohort 3 - 2.0 mg/kg/wk,eteplirsen,exposed,0,2,0,0,0,0,none,0,intravenous,0,Duchenne Muscular Dystrophy,PMO,PMO_neutral,NOT_REPORTED,0,COMPLETED,1
NCT00844597,Cohort 4 - 4.0 mg/kg/wk,eteplirsen,exposed,0,3,0,0,0,0,none,0,intravenous,0,Duchenne Muscular Dystrophy,PMO,PMO_neutral,NOT_REPORTED,0,COMPLETED,1
NCT00844597,Cohort 5 - 10.0 mg/kg/wk,eteplirsen,exposed,0,4,0,0,0,0,none,0,intravenous,0,Duchenne Muscular Dystrophy,PMO,PMO_neutral,NOT_REPORTED,0,COMPLETED,1
